category|merchant_name|lat|long|fraud_risk
gas_transport|Brown-Villarreal|36.11835235344557|-115.29867576361276|0
gas_transport|Richardson LLC|36.18146879953323|-115.36038021931338|0
gas_transport|Shannon Ltd|36.28590557529656|-115.82464533534288|0
gas_transport|Wilson, Yang and Smith|36.241918351633416|-115.40669660599961|0
gas_transport|Sanchez Group|36.11739224796629|-115.32543528628084|0
gas_transport|Reyes-Hernandez|36.06286411727236|-115.75199037602108|0
gas_transport|Tran Ltd|36.28039961440495|-114.66626032725361|0
gas_transport|Rios, Walker and Wright|36.26614151498337|-115.3293095760497|0
grocery_net|Flores, Mckenzie and Duncan|35.58141781855641|-115.79441421750418|0
grocery_net|Shaw Inc|36.121339657246374|-115.30741477308594|0
grocery_net|Walker PLC|36.04369739972206|-115.34773115421271|0
grocery_net|Finley Inc|36.110059286839636|-115.36455784447983|1
grocery_net|Cline-Ayala|36.112761683170135|-115.33743210525842|0
grocery_net|Murphy-Tran|36.19268057804397|-115.32821909705723|0
grocery_net|Wood LLC|36.120413150837614|-115.30703715204523|0
grocery_net|Mueller, Stevenson and Sanchez|36.472512494727276|-115.2026145349447|0
grocery_pos|Vargas-Snyder|36.47372192063349|-115.67099350362898|0
grocery_pos|Oconnor PLC|35.86269346578462|-115.88322235765317|0
grocery_pos|Hernandez Group|36.22118539044011|-115.34231189386705|0
grocery_pos|Hall LLC|36.42632360090987|-115.16712704151051|0
grocery_pos|Franco, Wiley and Tapia|36.12138750085245|-115.307390046093|0
grocery_pos|Blake Group|36.261762472947694|-115.1917886671711|0
grocery_pos|Acosta, Garcia and Moreno|36.47852921342899|-114.89177951631162|0
grocery_pos|Barnes Inc|36.22343822114754|-115.37250103656689|0
pharmacy|Dawson Inc|36.16471176195389|-115.28997762071648|0
pharmacy|Morse PLC|36.12131989451558|-115.30744360155937|0
pharmacy|Haynes-Watson|36.4563945750404|-115.18394463308827|0
pharmacy|Miller, Davis and Anderson|36.133101287035274|-115.3207138590988|0
pharmacy|Jones-Bradley|35.735202619424285|-115.13684825327526|0
pharmacy|Bates-Anderson|36.17830425257993|-115.241384149667|0
pharmacy|Green-Edwards|36.12134247361576|-115.30743885621797|0
pharmacy|Haynes-Moss|36.17931472654324|-115.17614265051425|0
misc_net|Chavez-Hall|36.08868808631431|-115.29630003547742|0
misc_net|Taylor PLC|36.09951891158469|-115.52187399553202|0
misc_net|Moore and Sons|36.11248230100521|-115.29083014709629|0
misc_net|Owens-Russell|36.61273759018635|-115.30390622946614|0
misc_net|Howard, Townsend and Hayes|36.10926625323516|-115.28847872481323|0
misc_net|Baker-Wilson|36.04167821213552|-115.32083274202951|0
misc_net|Aguirre LLC|36.083042065036835|-115.0655032375401|0
misc_net|Terry, Williams and Huff|36.135782813381695|-115.30195266743672|0
misc_pos|Hernandez-Dawson|36.17841317244101|-115.30453138595574|0
misc_pos|Foster-Williams|36.12134846571705|-115.3075734079827|0
misc_pos|Green-Ewing|36.10446397674912|-115.3078346545981|0
misc_pos|Crane Group|36.106268543516144|-115.30254044864276|0
misc_pos|Adkins, Wright and Murray|36.85885729423345|-115.04181109894793|0
misc_pos|Martinez Inc|36.060791648284024|-115.36767431576084|0
misc_pos|Anderson Group|36.11850124796925|-115.22657659076937|0
misc_pos|Parks-Pace|36.06040818033843|-115.33992259516093|0
shopping_net|Aguilar LLC|36.11666582977588|-115.30368917678712|0
shopping_net|Johnson Inc|35.758206733218124|-115.856510637701|0
shopping_net|Orr Group|36.201022801566545|-115.33642828773137|0
shopping_net|Davis LLC|36.07904356195317|-115.29724256526923|0
shopping_net|Williams Group|36.20942742861422|-115.228993733055|0
shopping_net|Jackson PLC|36.14034963994271|-115.30284960306591|0
shopping_net|Underwood-Foster|36.12084823245193|-115.30106051346793|0
shopping_net|Reyes Group|36.35736724721591|-115.86220631271182|0
shopping_pos|Gomez and Sons|36.161516287446254|-115.24818250357497|0
shopping_pos|Ramirez-Stephenson|36.11538231193966|-115.30499550278003|1
shopping_pos|Mendez PLC|35.62706337923048|-115.25083559686469|0
shopping_pos|Holland Group|35.855404841868854|-115.84066337627166|0
shopping_pos|Andrade-Mendoza|36.12173725069492|-115.30841496383249|0
shopping_pos|Ramirez and Sons|36.12414005190009|-115.30518911068226|0
shopping_pos|Gonzalez-Wilkerson|36.38302849312989|-115.57011158423451|0
shopping_pos|Wright, Mcknight and Stephens|36.12262200261589|-115.31221588378001|0
utilities|Mayo Ltd|35.57384506714501|-115.34209615811089|0
utilities|Castillo-Harrington|36.04279794272731|-115.3035758687481|0
utilities|Durham-Shaw|36.3929144887194|-114.90743368933138|0
utilities|Nelson-Johnson|36.11986499943566|-115.31886994197644|0
utilities|Robinson, Huang and Osborne|36.12134605650913|-115.30743601504409|0
utilities|Stokes Group|36.03870155666256|-115.89716983106501|0
utilities|Howard, Silva and Hall|36.21844784256183|-115.32031898283569|0
utilities|Garcia Ltd|36.12012785257841|-115.30654534508143|0
entertainment|Adams Ltd|36.08798336141865|-115.43280024489377|0
entertainment|Gallagher and Sons|36.12132981062278|-115.30744890452289|0
entertainment|Bradford, Salinas and Kelly|36.41619552459657|-115.36504775721326|0
entertainment|Thompson PLC|36.12120762712793|-115.30777730693687|0
entertainment|Drake-Wolfe|36.12178370103475|-115.31203582533712|0
entertainment|Johnson, Haynes and Meza|36.02828682856552|-115.37393589233083|0
entertainment|Thomas, Vaughan and Copeland|36.14432345495012|-115.31859797695927|0
entertainment|Weaver-Thompson|36.1207652283574|-115.30717878149711|0
food_dining|Davis and Sons|36.29015136124377|-115.25933840949254|0
food_dining|Robinson, Fox and Smith|36.10498376771182|-115.32429343812016|0
food_dining|Harris, Anderson and Love|36.18966324339318|-115.28382625791721|0
food_dining|Brown-Hernandez|36.18627880964691|-115.19193989790035|0
food_dining|Stark, Schroeder and Mathis|36.12080670361237|-115.30710321479775|0
food_dining|Yu-Brooks|36.12130980986121|-115.30742951658323|0
food_dining|Foster, Garcia and Turner|36.19337851095612|-115.1280788353908|0
food_dining|Daugherty Ltd|35.89496570442085|-114.5962457351924|0
health_fitness|Conner-Yu|36.111172709864775|-115.3165635706591|0
health_fitness|Stewart, Mann and Hoffman|36.41235422330061|-115.12913443627745|0
health_fitness|Buchanan, Walker and Chapman|36.37823513565147|-115.05534929232952|0
health_fitness|Gray Ltd|36.26578424524863|-115.20059930347952|1
health_fitness|Phillips, Thompson and Smith|35.532223645177254|-115.15915899522369|0
health_fitness|Fry, Myers and Gamble|36.277179375679985|-115.50978816913094|0
health_fitness|Johnson, Guzman and Mccall|36.08906022524817|-115.44571853864664|0
health_fitness|Walker, Cunningham and Zuniga|36.06969414295508|-115.07290569834369|0
home|Rivera Inc|36.110352079801466|-115.5954423737173|0
home|Reed LLC|36.109926836076205|-114.5136953829009|0
home|Fields Inc|36.0986134323411|-115.322057115368|0
home|Santiago, Daniel and Rogers|36.04480381387542|-115.19133984544322|0
home|Baker and Sons|36.05553765714702|-115.3508080655739|0
home|Jones, Scott and Rodriguez|36.14154396197001|-115.31052969538521|0
home|Williams Group|35.9526780564943|-115.31091877300821|0
home|Barnes, Jackson and Gutierrez|36.12027083029195|-115.31402192828898|0
kids_pets|Bell-Bennett|36.12855783686369|-115.31138009837117|0
kids_pets|Kramer-Lane|35.83192054546808|-115.40842201273387|0
kids_pets|Perez, Hayes and Lloyd|36.12520835759678|-115.37000610960649|1
kids_pets|Phillips LLC|35.89641657777179|-114.94867652868697|0
kids_pets|Lynn-Jones|35.86809604227374|-115.32416231842485|1
kids_pets|Barron and Sons|36.11013834164125|-115.30709538234159|0
kids_pets|Jones, Mcmahon and Spence|36.16490315940544|-115.3113851800184|0
kids_pets|Wheeler-Austin|36.169779527102826|-115.31677177792301|0
personal_care|Bush-Reynolds|36.1391818277332|-115.28371086594264|0
personal_care|Martin, Preston and Moore|36.12494651644726|-115.30621365033528|0
personal_care|Rivera and Sons|35.848890987528065|-115.90013618145838|0
personal_care|Terry-Bowen|35.81708620444723|-114.65773853106371|0
personal_care|Fernandez, Guerrero and Evans|36.12286572947026|-115.30782936091413|0
personal_care|Williams PLC|36.0751220458315|-115.378485340942|0
personal_care|Larsen, Hernandez and Ward|35.79044865418977|-116.03306224661394|0
personal_care|Miller-Colon|36.153612002578434|-115.29783792008305|0
travel|Greene, Gonzalez and Johnson|35.78846941465286|-114.90655742650479|0
travel|Little Inc|36.38351115264573|-115.51087695592118|0
travel|Anthony-Parker|36.28859420910095|-114.7104980691357|0
travel|Ruiz-Jacobson|36.09845703206323|-115.55976833643115|0
